
set D := 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92
;

set H := 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
;

set W := 	1	4	5	6	7	8	11	12	13	14	15	18	19	20	21	22	25	26	27	28	29	32	33	34	35	36	39	40	41	42	43	46	47	48	49	50	53	54	55	56	57	60	61	62	63	64	67	68	69	70	71	74	75	76	77	78	81	82	83	84	85	88	89	90	91	92
;

set G := 	3	10	17	24	31	38	45	52	59	66	73	80	87
;

set U :=	27	28	29	30	31	32	33	34	35	36	37	38	39
;

set V[27] :=	4,	5,	6,	7,	8;
set V[28] :=	11,	12,	13,	14,	15;
set V[29] :=	18,	19,	20,	21,	22;
set V[30] :=	25,	26,	27,	28,	29;
set V[31] :=	32,	33,	34,	35,	36;
set V[32] :=	39,	40,	41,	42,	43;
set V[33] :=	46,	47,	48,	49,	50;
set V[34] :=	53,	54,	55,	56,	57;
set V[35] :=	60,	61,	62,	63,	64;
set V[36] :=	67,	68,	69,	70,	71;
set V[37] :=	74,	75,	76,	77,	78;
set V[38] :=	81,	82,	83,	84,	85;
set V[39] :=	88,	89,	90,	91,	92;			



param r = 7.5;

param c = 5.5;

param c2 = 2.75;




param p :
	0		1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		:=
11	0.15139	0.15021	0.14956	0.14928	0.14927	0.15028	0.15769	0.1724	0.18994	0.19326	0.1899	0.18742	0.18676	0.18372	0.18	0.17997	0.18505	0.1884	0.18686	0.18624	0.18246	0.1807	0.17799	0.17231
12	0.18676	0.18536	0.18213	0.17889	0.17562	0.18165	0.18617	0.18902	0.18926	0.18777	0.18828	0.1874	0.18666	0.18615	0.18616	0.18574	0.18589	0.17436	0.17874	0.18004	0.18671	0.17838	0.17025	0.16732
13	0.17723	0.17591	0.17521	0.173	0.17502	0.17594	0.17883	0.18797	0.18861	0.18887	0.1879	0.18509	0.17807	0.176	0.17108	0.15176	0.15196	0.15544	0.17525	0.17771	0.18135	0.17627	0.17604	0.17578
14	0.16691	0.16499	0.16435	0.1639	0.16356	0.16405	0.16627	0.16903	0.16683	0.16997	0.17192	0.17455	0.17574	0.17554	0.16783	0.16499	0.16396	0.16477	0.16668	0.16807	0.17091	0.16832	0.16814	0.16575
15	0.15106	0.13682	0.13616	0.1362	0.13908	0.13897	0.17016	0.16729	0.16664	0.16712	0.16207	0.16208	0.16491	0.16647	0.16618	0.16634	0.16693	0.16663	0.16696	0.16576	0.16538	0.16458	0.16035	0.15805
16	0.1655	0.16424	0.16319	0.16259	0.15472	0.14998	0.15169	0.16002	0.13826	0.05417	0.03667	0.02984	0.0108	0.00197	0.00193	0.00173	0.00106	0.05515	0.1648	0.16882	0.16825	0.16736	0.16712	0.16698
17	0.1601	0.15916	0.15804	0.15707	0.15806	0.15842	0.16162	0.16203	0.16159	0.15735	0.12952	0.1198	0.09274	0.0882	0.12153	0.15234	0.16087	0.16095	0.16141	0.16027	0.16007	0.15968	0.15508	0.1572
18	0.15855	0.15731	0.1566	0.15627	0.15604	0.15702	0.16072	0.16082	0.15971	0.16021	0.16045	0.16035	0.15899	0.16009	0.16052	0.16057	0.16023	0.16008	0.16005	0.16002	0.16006	0.16009	0.15787	0.15741
19	0.15667	0.15658	0.15673	0.15601	0.15537	0.15574	0.16188	0.16272	0.16633	0.16624	0.16567	0.16448	0.16331	0.16266	0.16193	0.16084	0.16188	0.16353	0.1642	0.16381	0.16279	0.16086	0.15783	0.1532
20	0.16045	0.16034	0.16008	0.1593	0.15775	0.15395	0.16015	0.16081	0.16529	0.16606	0.16534	0.16578	0.16635	0.16681	0.16637	0.16602	0.166	0.16447	0.16381	0.16309	0.164	0.16323	0.16232	0.1605
21	0.16195	0.16219	0.16224	0.16208	0.16183	0.1625	0.16938	0.1759	0.21993	0.21919	0.21937	0.2197	0.23357	0.23288	0.20592	0.1873	0.18608	0.1874	0.19905	0.199	0.18735	0.18867	0.17859	0.16443
22	0.16576	0.1647	0.16392	0.16361	0.16334	0.16394	0.16448	0.16509	0.17118	0.18137	0.19902	0.19906	0.1981	0.19164	0.17929	0.17929	0.17466	0.18738	0.18738	0.16947	0.16543	0.16426	0.16355	0.16365
23	0.1689	0.16797	0.16766	0.16625	0.16479	0.16609	0.16443	0.16246	0.16381	0.16721	0.16834	0.16848	0.16864	0.16784	0.16738	0.16616	0.16349	0.1645	0.16835	0.16874	0.16845	0.16607	0.16497	0.16491
24	0.1734	0.17286	0.17269	0.17258	0.17091	0.17163	0.17016	0.16991	0.1684	0.16323	0.1503	0.10037	0.07172	0.06035	0.05009	0.08814	0.15054	0.17181	0.16931	0.16934	0.16877	0.16813	0.16804	0.16732
25	0.17129	0.17114	0.17055	0.1699	0.16827	0.15569	0.16269	0.1778	0.17435	0.1742	0.17392	0.17393	0.17323	0.17008	0.16949	0.16907	0.16879	0.16856	0.16894	0.16863	0.16816	0.16893	0.16883	0.16827
26	0.16265	0.16637	0.16471	0.16321	0.16266	0.15708	0.17481	0.17822	0.17731	0.17694	0.17714	0.16458	0.13089	0.1261	0.12234	0.11892	0.12124	0.1272	0.13679	0.15266	0.17511	0.1499	0.14959	0.13496
27	0.15404	0.13964	0.13743	0.13762	0.13979	0.13586	0.17303	0.16916	0.173	0.17306	0.17314	0.18994	0.18992	0.19	0.19	0.18994	0.18992	0.19023	0.19106	0.19078	0.17505	0.18162	0.17317	0.17307
28	0.20232	0.2021	0.19941	0.19669	0.18965	0.19548	0.20431	0.20305	0.20005	0.20657	0.20992	0.20998	0.20997	0.19719	0.20425	0.20009	0.20573	0.21449	0.22097	0.22096	0.21491	0.21283	0.20725	0.20286
29	0.21021	0.20811	0.20789	0.20763	0.20739	0.20762	0.20742	0.21324	0.21715	0.21611	0.21488	0.21407	0.21431	0.21235	0.21326	0.2127	0.21299	0.21605	0.21955	0.21533	0.2104	0.20767	0.20751	0.20758
30	0.21331	0.21265	0.21228	0.21208	0.21084	0.21008	0.21017	0.20952	0.21218	0.21259	0.21298	0.21307	0.2129	0.21269	0.21251	0.21244	0.21258	0.21277	0.21378	0.21337	0.21231	0.21223	0.2122	0.2124
31	0.21615	0.2159	0.21552	0.21531	0.21508	0.21433	0.21194	0.21192	0.21504	0.21512	0.216	0.21634	0.21653	0.21656	0.21105	0.21656	0.21616	0.21613	0.21731	0.218	0.21637	0.21621	0.21609	0.21609
32	0.22091	0.21896	0.21849	0.21827	0.21814	0.21892	0.21989	0.21866	0.22262	0.22733	0.23232	0.22798	0.22785	0.22635	0.2235	0.2185	0.21872	0.22507	0.22329	0.22105	0.22095	0.22096	0.22083	0.21948
33	0.25101	0.23283	0.22993	0.22927	0.22903	0.23171	0.25002	0.23881	0.26501	0.27392	0.27001	0.24318	0.22759	0.21811	0.19224	0.19815	0.22208	0.23279	0.25008	0.23888	0.23581	0.23709	0.23287	0.22803
34	0.24812	0.24801	0.248	0.24621	0.24174	0.24055	0.24103	0.23927	0.27597	0.26878	0.23575	0.18486	0.20885	0.18459	0.22201	0.23638	0.23687	0.23798	0.23925	0.23877	0.23861	0.24395	0.24268	0.23896
35	0.23539	0.2326	0.23204	0.23175	0.23163	0.23283	0.23654	0.24237	0.24747	0.24992	0.24996	0.24993	0.24007	0.23578	0.23345	0.23951	0.24995	0.24999	0.24996	0.25025	0.25043	0.24998	0.24612	0.23747
36	0.2339	0.22999	0.22972	0.22964	0.22968	0.23121	0.23625	0.23763	0.23885	0.23961	0.24161	0.23907	0.23936	0.23916	0.23899	0.23674	0.23752	0.23798	0.23776	0.23797	0.23765	0.23841	0.23831	0.23672
37	0.22869	0.22929	0.22699	0.22567	0.2248	0.22458	0.22714	0.22734	0.23009	0.22808	0.22128	0.18618	0.14232	0.14237	0.13069	0.13977	0.18673	0.23002	0.23637	0.23629	0.23589	0.23516	0.23545	0.23406
38	0.24514	0.23393	0.22526	0.2064	0.20047	0.20523	0.205	0.20629	0.16227	0.14557	0.10438	0.13445	0.19358	0.22208	0.21877	0.18139	0.17254	0.22619	0.24906	0.26445	0.2799	0.27778	0.27574	0.25321
39	0.24512	0.23902	0.23782	0.23637	0.23734	0.23931	0.26778	0.29243	0.33495	0.31002	0.30041	0.29755	0.28479	0.28199	0.28097	0.28292	0.28779	0.28784	0.27718	0.27502	0.275	0.28871	0.2726	0.24561
40	0.26494	0.26062	0.25953	0.25391	0.25504	0.26012	0.26055	0.27449	0.29508	0.30687	0.30265	0.27566	0.27091	0.25894	0.26064	0.26049	0.27294	0.27499	0.27366	0.27447	0.26277	0.26296	0.26208	0.26053
41	0.25453	0.25273	0.25244	0.25235	0.25239	0.25202	0.25714	0.26525	0.27127	0.28495	0.29334	0.2849	0.27423	0.25352	0.25448	0.26343	0.26317	0.26329	0.26328	0.26253	0.26213	0.26303	0.26062	0.25712
42	0.25177	0.24911	0.24798	0.2479	0.24788	0.24879	0.2563	0.26127	0.26088	0.25967	0.25988	0.26247	0.2621	0.26072	0.26499	0.26154	0.2609	0.26398	0.2623	0.26102	0.25773	0.2582	0.25664	0.26644
43	0.26491	0.25776	0.25446	0.25324	0.25515	0.25995	0.26493	0.31406	0.34524	0.35416	0.35116	0.32183	0.29416	0.28993	0.28749	0.25997	0.26492	0.26295	0.25913	0.2633	0.25813	0.26405	0.25999	0.24797
44	0.27166	0.25902	0.25786	0.25716	0.25705	0.25768	0.25414	0.25353	0.25299	0.25872	0.26423	0.26799	0.25341	0.23685	0.25236	0.2552	0.25759	0.26496	0.26563	0.26491	0.25946	0.27391	0.26358	0.2651
45	0.26956	0.26586	0.26429	0.26277	0.26214	0.26321	0.26178	0.24998	0.25922	0.24999	0.26092	0.24958	0.23842	0.2381	0.23872	0.24015	0.26169	0.27417	0.2742	0.27239	0.2686	0.26729	0.26241	0.26811
46	0.29488	0.28239	0.279	0.27749	0.27759	0.2824	0.28069	0.27992	0.28548	0.27994	0.27674	0.27979	0.27853	0.27854	0.28465	0.27997	0.28029	0.28229	0.28245	0.27995	0.27999	0.27982	0.27964	0.28229
47	0.29433	0.2803	0.27616	0.27312	0.27039	0.27519	0.26989	0.26983	0.26989	0.26985	0.27394	0.27414	0.27546	0.27522	0.27402	0.27168	0.27404	0.27322	0.2685	0.26706	0.26762	0.26983	0.27052	0.27063
48	0.29895	0.28913	0.28475	0.28471	0.2792	0.28197	0.27977	0.28426	0.2967	0.2955	0.30109	0.30181	0.30147	0.30128	0.30115	0.29705	0.30036	0.30002	0.29318	0.28917	0.28472	0.28919	0.28917	0.28918
49	0.29472	0.28914	0.28821	0.28706	0.28724	0.29315	0.31677	0.32504	0.3251	0.3251	0.32553	0.32508	0.32507	0.32507	0.32507	0.32501	0.33263	0.33963	0.33865	0.33763	0.33852	0.3462	0.33502	0.33018
50	0.33969	0.33381	0.33123	0.3373	0.33755	0.34787	0.35987	0.37384	0.44569	0.39592	0.38411	0.39415	0.42617	0.47408	0.44777	0.35993	0.39597	0.36173	0.35995	0.35904	0.35909	0.35803	0.35425	0.35196
51	0.37059	0.36382	0.35834	0.35696	0.35602	0.358	0.35738	0.36294	0.36507	0.37596	0.39356	0.38915	0.37509	0.35978	0.3492	0.34637	0.35003	0.36145	0.35686	0.35564	0.35739	0.37003	0.36509	0.36687
52	0.37229	0.36919	0.36385	0.33527	0.31363	0.31467	0.35465	0.33888	0.34065	0.32741	0.26266	0.18254	0.1951	0.16501	0.17381	0.33004	0.36603	0.37214	0.37302	0.3733	0.37348	0.37398	0.3744	0.37392
53	0.36986	0.36797	0.3671	0.36656	0.36693	0.36892	0.37461	0.4048	0.41991	0.41856	0.40099	0.40963	0.41069	0.40014	0.39991	0.39991	0.39966	0.39937	0.39701	0.39802	0.4084	0.42996	0.39941	0.38912
54	0.40339	0.39679	0.39643	0.39602	0.39628	0.4007	0.43826	0.42496	0.42467	0.45997	0.46798	0.45762	0.45765	0.4699	0.45788	0.46004	0.46325	0.4699	0.46321	0.44597	0.44752	0.45895	0.44499	0.42491
55	0.43109	0.42996	0.42634	0.42497	0.42457	0.43006	0.45715	0.47128	0.49802	0.48506	0.48	0.47795	0.48626	0.48007	0.48503	0.44999	0.45075	0.45239	0.44053	0.43348	0.43149	0.45757	0.43108	0.42789
56	0.46455	0.4634	0.46179	0.46209	0.46222	0.46442	0.48999	0.49806	0.49721	0.4838	0.47996	0.47622	0.47641	0.47487	0.47441	0.47608	0.4749	0.47658	0.47241	0.4732	0.496	0.49804	0.47003	0.46871
57	0.48109	0.47629	0.47306	0.47104	0.47007	0.47251	0.48958	0.49994	0.52043	0.51601	0.51693	0.49994	0.50366	0.5035	0.50146	0.49928	0.49843	0.49839	0.49593	0.4948	0.47646	0.46758	0.47193	0.46901
58	0.51038	0.50302	0.50196	0.50013	0.49998	0.50158	0.50444	0.50734	0.51463	0.5271	0.53441	0.53202	0.532	0.50456	0.5012	0.4765	0.502	0.52241	0.52777	0.52346	0.51995	0.5219	0.51881	0.51172
59	0.56657	0.50709	0.48266	0.43	0.42597	0.40992	0.42729	0.44191	0.46745	0.43762	0.33868	0.49996	0.50301	0.50301	0.49993	0.47008	0.38197	0.49261	0.50937	0.56718	0.56662	0.57042	0.56749	0.56107
60	0.57375	0.52836	0.51481	0.50987	0.51455	0.58236	0.5999	0.6112	0.63875	0.63951	0.63438	0.59991	0.56632	0.56994	0.56007	0.60365	0.63338	0.63702	0.63329	0.63335	0.63906	0.64004	0.63845	0.63168
61	0.66235	0.6141	0.58501	0.58496	0.59499	0.65889	0.67705	0.74465	0.74937	0.71971	0.672	0.64806	0.58756	0.59025	0.57171	0.61313	0.66025	0.69495	0.74765	0.79997	0.7395	0.68258	0.6506	0.59216
62	0.54735	0.53894	0.55531	0.51304	0.5562	0.57339	0.645	0.67275	0.70374	0.66608	0.64997	0.64805	0.57181	0.54601	0.51287	0.53626	0.57616	0.65139	0.66857	0.6961	0.67409	0.65257	0.57747	0.54326
63	0.50543	0.49883	0.49881	0.49436	0.50487	0.57282	0.595	0.64847	0.64483	0.59985	0.58146	0.53872	0.5111	0.50728	0.5276	0.55691	0.58005	0.61992	0.65481	0.67891	0.66315	0.63241	0.56502	0.51103
64	0.46967	0.43124	0.40716	0.37351	0.40426	0.44659	0.53091	0.56509	0.58197	0.54676	0.51239	0.42653	0.29143	0.27	0.27185	0.3199	0.39481	0.48953	0.54996	0.5701	0.5425	0.43858	0.35424	0.21678
65	0.23755	0.2528	0.27085	0.25799	0.24283	0.301	0.28321	0.38113	0.41239	0.39242	0.44091	0.4524	0.4676	0.45516	0.45854	0.42983	0.38609	0.41353	0.46718	0.53	0.51169	0.44189	0.39392	0.32995
66	0.217	0.21132	0.20645	0.21069	0.22712	0.22985	0.21737	0.23315	0.21622	0.19004	0.29995	0.20154	0.24999	0.40702	0.40665	0.36647	0.24992	0.4125	0.44454	0.50386	0.5034	0.45154	0.42119	0.34601
67	0.27729	0.22657	0.2188	0.2295	0.24647	0.3785	0.4599	0.5065	0.51993	0.47892	0.43166	0.38798	0.40491	0.40099	0.29305	0.40493	0.40422	0.48705	0.5499	0.58297	0.50682	0.42015	0.33128	0.23218
68	0.28168	0.30784	0.2845	0.29192	0.29592	0.39612	0.46562	0.52505	0.54433	0.47815	0.44486	0.31424	0.26333	0.27564	0.28887	0.38992	0.4759	0.48553	0.52993	0.55371	0.54522	0.51357	0.46981	0.45661
69	0.42632	0.39554	0.37842	0.37705	0.39924	0.40661	0.47208	0.50378	0.50802	0.50004	0.46994	0.45038	0.40555	0.40205	0.40934	0.41277	0.47192	0.50489	0.52633	0.55001	0.52993	0.50759	0.48976	0.43881
70	0.44195	0.40774	0.40029	0.38192	0.37923	0.44201	0.46287	0.48925	0.50781	0.47645	0.4687	0.44144	0.429	0.40975	0.3999	0.40475	0.41593	0.45516	0.4703	0.48148	0.48729	0.45307	0.39428	0.33447
71	0.30897	0.24531	0.21114	0.19876	0.23413	0.28762	0.36996	0.41764	0.41808	0.40315	0.37524	0.34042	0.35063	0.30183	0.30328	0.30033	0.37589	0.40238	0.42182	0.45286	0.45058	0.40693	0.38712	0.38745
72	0.40085	0.37058	0.3626	0.35847	0.35849	0.36743	0.3935	0.40645	0.42358	0.42173	0.44265	0.43175	0.41277	0.36636	0.36015	0.3647	0.39496	0.45822	0.44211	0.47993	0.47982	0.45401	0.44992	0.4488
73	0.43493	0.39739	0.39738	0.38103	0.37001	0.38083	0.39034	0.3965	0.41414	0.41499	0.40093	0.3922	0.37152	0.34511	0.28456	0.3065	0.37661	0.42637	0.46559	0.4938	0.50497	0.48494	0.45126	0.40403
74	0.35746	0.3661	0.3656	0.36035	0.36394	0.40149	0.45492	0.48709	0.49023	0.45897	0.41798	0.37084	0.36257	0.33976	0.34772	0.35524	0.40763	0.45798	0.49072	0.496	0.48725	0.44992	0.37546	0.34196
75	0.35017	0.30374	0.29074	0.30386	0.31191	0.3098	0.39597	0.44548	0.45595	0.44643	0.4358	0.4433	0.3467	0.33576	0.34164	0.356	0.37359	0.41579	0.45061	0.47013	0.46711	0.42664	0.38992	0.33422
76	0.35538	0.31926	0.32937	0.32523	0.33669	0.3635	0.41338	0.46007	0.47844	0.48614	0.47805	0.47552	0.4604	0.44991	0.42166	0.43996	0.44678	0.46144	0.4664	0.47391	0.47367	0.46034	0.41954	0.35558
77	0.40261	0.34961	0.32672	0.31152	0.28069	0.37728	0.39237	0.4258	0.42738	0.42882	0.40765	0.38462	0.34146	0.31218	0.30653	0.26916	0.29965	0.36115	0.41074	0.41854	0.42394	0.39321	0.35316	0.26222
78	0.18844	0.16896	0.22574	0.18004	0.14715	0.21828	0.36543	0.41991	0.41402	0.40159	0.40376	0.40234	0.40681	0.40509	0.40496	0.40377	0.39996	0.26371	0.32378	0.37557	0.3612	0.23311	0.27382	0.23476
79	0.3835	0.3582	0.2424	0.24082	0.24002	0.19504	0.08487	0.24549	0.23061	0.38282	0.38822	0.38152	0.38238	0.22984	0.18354	0.18873	0.03631	0.06885	0.23502	0.22496	0.33651	0.39017	0.24563	0.26411
80	0.02747	0.02787	0.02285	0.02798	0.03504	0.03159	0.02464	0.06197	0.07696	0.07012	0.22363	0.35487	0.08332	0.23837	0.0332	0.03505	0.15946	0.08435	0.18834	0.20838	0.22155	0.1886	0.15428	0.1169
81	0.08651	0.10013	0.09508	0.08962	0.10148	0.17996	0.35077	0.39877	0.40541	0.36636	0.33968	0.24312	0.22486	0.23685	0.2374	0.2223	0.25722	0.3612	0.39751	0.42835	0.40978	0.38142	0.35364	0.30556
82	0.27014	0.26787	0.28362	0.27087	0.26842	0.30205	0.35893	0.41031	0.4271	0.41193	0.37938	0.36448	0.3655	0.36547	0.36345	0.36444	0.3699	0.41169	0.45451	0.48517	0.47996	0.41959	0.3882	0.35378
83	0.33735	0.30917	0.30849	0.30852	0.30679	0.35884	0.41676	0.48871	0.49991	0.4271	0.36961	0.33191	0.30792	0.31193	0.32135	0.35004	0.38343	0.40674	0.45543	0.47218	0.44532	0.40294	0.36892	0.35975
84	0.37409	0.34955	0.33994	0.32022	0.3299	0.37323	0.40969	0.46964	0.47506	0.38788	0.35138	0.31062	0.30378	0.29129	0.31909	0.355	0.37065	0.40887	0.40902	0.40599	0.40443	0.38407	0.37993	0.36771
85	0.34233	0.31094	0.30351	0.29177	0.30197	0.34596	0.36031	0.38596	0.40047	0.37457	0.36214	0.35025	0.34204	0.33011	0.33531	0.34134	0.3606	0.36452	0.37695	0.38593	0.38593	0.3704	0.3672	0.35112
86	0.35433	0.34535	0.30443	0.29832	0.29741	0.30531	0.34222	0.35253	0.35917	0.36352	0.35846	0.35222	0.34056	0.30784	0.30857	0.32978	0.34671	0.35964	0.37918	0.3927	0.38322	0.36003	0.34648	0.32495
87	0.32887	0.31217	0.28552	0.26861	0.20062	0.20392	0.2383	0.24757	0.28765	0.30092	0.29983	0.32081	0.27501	0.24596	0.23299	0.26296	0.31373	0.34362	0.35114	0.35758	0.36222	0.35436	0.34152	0.28733
88	0.24877	0.18149	0.15684	0.12486	0.10115	0.16091	0.25982	0.32588	0.32999	0.3027	0.26751	0.22397	0.20855	0.20003	0.15885	0.23158	0.29236	0.3077	0.32502	0.3318	0.33731	0.32457	0.29156	0.28057
89	0.29658	0.23688	0.17487	0.15582	0.20707	0.29155	0.30394	0.3206	0.32886	0.32727	0.32716	0.32432	0.31966	0.30372	0.29728	0.3112	0.31558	0.32248	0.32987	0.33277	0.3352	0.32639	0.31623	0.31044
90	0.29692	0.26723	0.23831	0.23545	0.26528	0.29656	0.30181	0.3023	0.31409	0.32215	0.3172	0.31326	0.31484	0.31798	0.31934	0.31883	0.30953	0.30503	0.3095	0.31012	0.30621	0.30183	0.28395	0.28281
91	0.30282	0.29997	0.29994	0.29993	0.3005	0.3063	0.31196	0.31458	0.33287	0.35498	0.36097	0.3388	0.32469	0.33358	0.32557	0.33985	0.35507	0.36125	0.36555	0.35994	0.35719	0.34321	0.32451	0.32054
92	0.32618	0.30995	0.30763	0.30643	0.30637	0.30685	0.31296	0.33954	0.3542	0.34883	0.33842	0.31639	0.27901	0.2522	0.20003	0.19536	0.2157	0.29392	0.27994	0.30205	0.29271	0.19244	0.1689	0.0947
;
